deal_id,issue_date,issuer_name,issue_type,transaction_status,nation,filing_date,offer_price,stock_1d,stock_1w,stock_1m,ipo_proceeds,market_value_before,market_value_after,exchange,security_type,technique,spread,sub_region,region,economic_sector,business_sector,bookrunner,target_market
1.54E+11,12/6/2022,Adamas One Corp,IPO,Live,United States,11/3/2022,4.5,4.497932312,4.580632421,4.596380941,31.1,71.4,102.5,Nasdaq,Common Stock,Negotiated Sale|Firm Commitment,8,North America,Americas,Consumer Cyclicals,Cyclical Consumer Products,"Alexander Capital LP|Network 1 Financial Securities, Inc.",United States Of America (North America)
1.54E+11,11/14/2022,Acrivon Therapeutics Inc,IPO,Live,United States,11/8/2022,12.5,16.75,12.53,12.59764082,94.38,161.37,255.75,Nasdaq,Common Stock,Negotiated Sale|Firm Commitment,7,North America,Americas,Healthcare,Pharmaceuticals & Medical Research,Morgan Stanley & Co|Jefferies LLC|Cowen & Co|Piper Sandler & Co,United States Of America (North America)
1.54E+11,11/9/2022,ASP Isotopes Inc,IPO,Live,United States,10/31/2022,4,2.8,2.4,4.031469042,13.03,120.43,125.43,Nasdaq,Common Stock,Firm Commitment|Negotiated Sale,7,North America,Americas,Healthcare,Pharmaceuticals & Medical Research,Revere Securities Corp,United States Of America (North America)
1.54E+11,11/9/2022,Snail Inc,IPO,Live,United States,10/26/2022,5,3,3.04,5,15,31.26,46.26,Nasdaq,Class A Common Shares,Negotiated Sale|Firm Commitment,6.5,North America,Americas,Consumer Cyclicals,Cyclical Consumer Services,"US Tiger Securities Inc|EF Hutton|Joseph Gunnar & Co., LLC",United States Of America (North America)
1.54E+11,11/9/2022,Plutonian Acquisition Corp,IPO,Live,United States,10/14/2022,10,10.06,10.08,10,50,14.38,64.38,Nasdaq,Units,Firm Commitment|Negotiated Sale,1,North America,Americas,Financials,Investment Holding Companies,"EF Hutton|Joseph Gunnar & Co., LLC",United States Of America (North America)
1.54E+11,10/31/2022,Nightingale Intelligent Systems Inc,IPO,Live,United States,8/5/2022,0.14,0.15,0.15,0.139645273,3.2,3.22,6.42,Australia,Depositary Receipts,Offer for Subscription,6,North America,Americas,Industrials,Industrial Goods,Novus Capital Ltd,Rest Of The World|Asia|Australia (Australia Or New Zealand)|Europe|United States Of America (North America)
1.54E+11,10/19/2022,Prime Medicine Inc,IPO,Live,United States,10/13/2022,17,15.76,17.3,19.8,199.26,1452.41,1651.68,Nasdaq,Common Stock,Firm Commitment|Negotiated Sale,7,North America,Americas,Healthcare,Pharmaceuticals & Medical Research,JP Morgan Securities LLC|Goldman Sachs & Co|Morgan Stanley & Co|Jefferies LLC,United States Of America (North America)
1.54E+11,10/14/2022,Hudson Acquisition I Corp,IPO,Live,United States,4/29/2022,10,10.01,10.07,10.08,60,17.25,77.25,Nasdaq,Units,Negotiated Sale|Firm Commitment,2,North America,Americas,Financials,Investment Holding Companies,Chardan Capital Markets LLC|B Riley Securities Inc,United States Of America (North America)
1.54E+11,10/13/2022,TenX Keane Acquisition,IPO,Live,United States,5/24/2022,10,10.04,10.12,10.12,60,17.25,77.25,Nasdaq,Units,Negotiated Sale|Firm Commitment,2,North America,Americas,Financials,Investment Holding Companies,Maxim Group LLC,United States Of America (North America)
1.54E+11,10/12/2022,Spring Valley Acquisition Corp II,IPO,Live,United States,9/26/2022,10,10.09,10.14,9.95478425,200,76.67,276.67,Nasdaq,Units,Negotiated Sale|Firm Commitment,2,North America,Americas,Financials,Investment Holding Companies,Citigroup Global Markets Inc|Guggenheim Securities LLC,United States Of America (North America)
