Deal PermID,Dates: Issue Date,Issuer/Borrower Name Full,"Issue Type
('|')",Transaction Status,Issuer/Borrower Nation,Current Filing Date,Offer Price,"Stock Price 1 Day After Offer
(USD)","Stock Price 1 Week After Offer
(USD)","Stock Price 4 Weeks After Offer
(USD)","Proceeds Amount Incl Overallotment Sold All Markets
(USD, Millions)","Financials: Market Value Before Offer
(USD, Millions)","Financials: Market Value After Offer
(USD, Millions)","Issuer/Borrower Stock Exchange Name
('|')",Security Type,"Offering Technique
('|')",Fees: Gross Spread as Pct of Principal Amount This Market,Domicile Nation Sub Region,Domicile Nation Region,Issuer/Borrower TRBC Economic Sector,Issuer/Borrower TRBC Business Sector,"Book Or Co-Managers
('|')","Target Market
('|')"
154087678731,2022-08-31,Shuttle Pharmaceuticals Holdings Inc,IPO,Live,United States,2022-08-25,8.13,NA,NA,NA,9.96 ,75.67,85.63,Nasdaq,Units,Firm Commitment|Negotiated Sale,6.99,North America,Americas,Healthcare,Pharmaceuticals & Medical Research,Boustead Securities LLC,United States Of America (North America)
154087516665,2022-08-29,Hempacco Co Inc,IPO,Live,United States,2022-08-17,6.00,NA,NA,NA,6.00 ,132.06,138.06,Nasdaq,Common Stock,Firm Commitment|Negotiated Sale,7.00,North America,Americas,Consumer Non-Cyclicals,Food & Beverages,Boustead Securities LLC,United States Of America (North America)
154087558054,2022-08-29,bioAffinity Technologies Inc,IPO,Live,United States,2022-08-05,6.13,7.05,5.63,3.00,7.86 ,16.71,24.56,Nasdaq,Units,Negotiated Sale|Firm Commitment,9.00,North America,Americas,Healthcare,Healthcare Services & Equipment,WallachBeth Capital LLC|ViewTrade Securities Inc,United States Of America (North America)
154085816519,2022-08-25,PaxMedica Inc,IPO,Live,United States,2022-08-10,5.25,3.65,5.17,2.27,8.11 ,44.47,52.59,Nasdaq,Common Stock,Firm Commitment|Negotiated Sale,8.00,North America,Americas,Healthcare,Pharmaceuticals & Medical Research,"Craft Capital Management LLC|R. F. Lafferty & Co., Inc.|Benchmark Co LLC",United States Of America (North America)
154087341939,2022-08-15,Innovative Eyewear Inc,IPO,Live,United States,2022-08-15,8.50,5.54,4.37,2.15,8.33 ,53.51,61.84,Nasdaq,Units,Firm Commitment|Negotiated Sale,6.18,North America,Americas,Healthcare,Healthcare Services & Equipment,Maxim Group LLC,United States Of America (North America)
154087422786,2022-08-11,Forza X1 Inc,IPO,Live,United States,2022-07-29,5.00,6.06,6.28,3.36,17.25 ,35.00,52.25,Nasdaq,Common Stock,Firm Commitment|Negotiated Sale,7.50,North America,Americas,Consumer Cyclicals,Cyclical Consumer Products,ThinkEquity Partners,United States Of America (North America)
154087429319,2022-08-11,Reborn Coffee Inc,IPO,Live,United States,2022-08-01,5.00,3.99,3.65,2.37,7.20 ,58.40,65.60,Nasdaq,Common Stock,Firm Commitment|Negotiated Sale,4.00,North America,Americas,Consumer Cyclicals,Cyclical Consumer Services,"EF Hutton|Joseph Gunnar & Co., LLC",United States Of America (North America)
154087442037,2022-08-11,Corphousing Group Inc,IPO,Live,United States,2022-08-11,4.50,3.39,2.62,2.62,15.19 ,97.54,112.73,New York Stock Exchange,Common Stock,Firm Commitment|Negotiated Sale,7.11,North America,Americas,Real Estate,Real Estate,"Maxim Group LLC|Joseph Gunnar & Co., LLC",United States Of America (North America)
154087566898,2022-08-10,Treasure Global Inc,IPO,Live,United States,2022-08-01,4.00,8.40,5.82,2.83,8.00 ,42.18,50.18,Nasdaq,Common Stock,Firm Commitment|Negotiated Sale,7.00,North America,Americas,Technology,Software & IT Services,"EF Hutton|Joseph Gunnar & Co., LLC",United States Of America (North America)
154087650633,2022-08-04,Pono Capital Two Inc,IPO,Live,United States,2022-06-13,10.00,10.04,10.05,10.02,100.00 ,NA,NA,Nasdaq,Units,Negotiated Sale|Firm Commitment,3.50,North America,Americas,Financials,Investment Holding Companies,EF Hutton,United States Of America (North America)
