ipo_month,total_proceeds,pct_proceeds,number_of_deals,pct_deals,ipo_index,pct_chng
2022-12-01,31.1,-0.819616032,1,-0.75,339.4714286,-0.005711417
2022-11-01,172.41,-0.698826119,4,-0.333333333,341.4214286,0.017274159
2022-10-01,572.46,-0.743805019,6,-0.333333333,335.6238095,-0.035913359
2022-09-01,2234.47,7.1283012,9,-0.181818182,348.1261905,-0.067534698
2022-08-01,274.9,9.53256705,11,4.5,373.3395652,0.105117294
2022-07-01,26.1,-0.873717825,2,-0.5,337.828,-0.013827347
2022-06-01,206.68,-0.804196864,4,-0.555555556,342.5647619,-0.044926755
2022-05-01,1055.55,-0.092679027,9,0,358.6790476,-0.122077844
2022-04-01,1163.37,0.102093596,9,0,408.5545,-0.015179493
2022-03-01,1055.6,-0.67770596,9,-0.608695652,414.8517391,-0.055675395
2022-02-01,3275.27,-0.550411528,23,-0.148148148,439.3105263,-0.039744769
2022-01-01,7285.04,-0.192927491,27,-0.413043478,457.4935,-0.081495126
2021-12-01,9026.5,-0.684029386,46,-0.425,498.085,-0.085167336
2021-11-01,28567.53,0.256686706,80,-0.090909091,544.4547619,-0.003232604
2021-10-01,22732.42,0.226597442,88,0.660377358,546.2204762,-0.011086943
2021-09-01,18532.91,2.123225872,53,0.472222222,552.3442857,-0.010731216
2021-08-01,5933.9,-0.682105064,36,-0.470588235,558.3359091,0.002275869
2021-07-01,18666.23,-0.147412351,68,-0.042253521,557.0680952,-0.002447742
2021-06-01,21893.62,1.770060959,71,1.21875,558.435,0.046237463
2021-05-01,7903.66,-0.43571807,32,-0.085714286,533.7555,-0.03437861
2021-04-01,14006.58,-0.714372819,35,-0.736842105,552.7585714,0.030013566
2021-03-01,49037.98,0.302289724,133,0.1875,536.6517391,-0.012832593
2021-02-01,37655.2,0.111637578,112,0.142857143,543.6278947,0.059264448
2021-01-01,33873.63,0.38974668,98,0.53125,513.2126316,0.030353721
2020-12-01,24373.96,1.606651067,64,0.882352941,498.0936364,0.075278292
2020-11-01,9350.68,-0.576767828,34,-0.527777778,463.223,0.110572935
2020-10-01,22093.5,-0.109813985,72,0.220338983,417.1027273,0.0661084
2020-09-01,24818.97,0.684678496,59,0.512820513,391.2385714,0.035690695
2020-08-01,14732.17,-0.083636203,39,0.054054054,377.7561905,0.069801618
2020-07-01,16076.77,0.020227795,37,0.275862069,353.1086364,0.014902695
2020-06-01,15758.02,2.828293086,29,1.230769231,347.9236364,0.142443153
2020-05-01,4116.2,0.617634344,13,0.3,304.5435,0.11283224
2020-04-01,2544.58,1.398646356,10,1.5,273.6652381,0.004720225
2020-03-01,1060.84,-0.808287356,4,-0.714285714,272.3795455,-0.291705372
2020-02-01,5533.49,0.1043766,14,0.4,384.5568421,-0.007276843
2020-01-01,5010.51,3.621644806,10,0.111111111,387.3757143,0.018869697
2019-12-01,1084.14,-0.534242103,9,-0.470588235,380.2014286,0.019328641
2019-11-01,2327.69,-0.337749871,17,-0.055555556,372.992,0.051672181
2019-10-01,3514.82,-0.524541155,18,0.125,354.6656522,-0.013654567
2019-09-01,7392.48,8.707659781,16,2.2,359.5755,0.022333206
2019-08-01,761.51,-0.833639543,5,-0.761904762,351.7204545,-0.06674056
2019-07-01,4577.47,-0.441316829,21,-0.045454545,376.8731818,0.025873734
2019-06-01,8193.32,-0.486326396,22,-0.153846154,367.368,-0.002828371
2019-05-01,15950.44,1.794557508,26,0.857142857,368.41,-0.034731216
2019-04-01,5707.68,0.197532626,14,0.555555556,381.6657143,0.038372595
2019-03-01,4766.2,0.941726214,9,-0.526315789,367.5614286,0.015961295
2019-02-01,2454.62,0.319688172,19,2.8,361.7868421,0.091698617
2019-01-01,1860,0.160534345,5,-0.285714286,331.3980952,0.042451563
2018-12-01,1602.71,0.643383748,7,-0.125,317.9026316,-0.068387297
