ipo_quarter,total_proceeds,pct_proceeds,number_of_deals,pct_deals,ipo_index,pct_chng
10/1/2022,775.97,-0.693954178,11,-0.5,338.6581633,-0.043254908
7/1/2022,2535.47,0.045296009,22,0,353.9690625,-0.04153904
4/1/2022,2425.6,-0.791182955,22,-0.627118644,369.3098387,-0.153158328
1/1/2022,11615.91,-0.807449137,59,-0.724299065,436.1025806,-0.175756779
10/1/2021,60326.45,0.398613453,214,0.363057325,529.0945313,-0.048312234
7/1/2021,43133.04,-0.015314176,157,0.137681159,555.9539063,0.01320522
4/1/2021,43803.86,-0.636683927,138,-0.597667638,548.7080952,0.032329985
1/1/2021,120566.81,1.159993328,343,1.017647059,531.5239344,0.157106921
10/1/2020,55818.14,0.003419686,170,0.259259259,459.3559375,0.22918576
7/1/2020,55627.91,1.481306314,135,1.596153846,373.7075,0.207848309
4/1/2020,22418.8,0.931849125,52,0.857142857,309.3993651,-0.105023713
1/1/2020,11604.84,0.675389979,28,-0.363636364,345.7067742,-0.062544921
10/1/2019,6926.65,-0.455942209,44,0.047619048,368.7715625,0.016399684
7/1/2019,12731.46,-0.573506002,42,-0.322580645,362.8214063,-0.025976991
4/1/2019,29851.44,2.287306653,62,0.878787879,372.4977778,0.054299323
1/1/2019,9080.82,0.382568422,33,-0.083333333,353.3131148,0.042050318
10/1/2018,6568.08,-0.244432532,36,-0.217391304,339.0557143,-0.112647463
7/1/2018,8692.91,-0.477040184,46,-0.245901639,382.0980952,0.028251496
4/1/2018,16622.52,0.40984349,61,0.418604651,371.5998438,0.010656964
1/1/2018,11790.33,0.213999837,43,-0.203703704,367.6814754,0.062990928
10/1/2017,9711.97,0.866523551,54,0.636363636,345.8933333,0.065023203
7/1/2017,5203.24,-0.608409144,33,-0.410714286,324.7753968,0.037610552
4/1/2017,13287.44,0.0274575,56,0.806451613,313.0031746,0.041253012
1/1/2017,12932.35,1.776588573,31,0.107142857,300.6024194,0.053714797
10/1/2016,4657.64,-0.199852946,28,-0.2,285.2787302,0.009777011
7/1/2016,5820.98,-0.166801931,35,0,282.5165625,0.056252056
4/1/2016,6986.31,5.300955112,35,2.181818182,267.4707813,0.084831751
1/1/2016,1108.77,-0.452840245,11,-0.083333333,246.555082,-0.066462684
10/1/2015,2026.41,-0.452840245,12,0,264.1084375,-0.066462684
